paperId,title,abstract,publicationYear,citations_within_3_years,citations_within_5_years,citationCount,referenceCount,venue,isOpenAccess,disclaimer,status,journal_name,publicationTypes,fieldsOfStudy,author_count,title_abstract_similarity
b3007887c0fb4d126ae2c0f25af62636f727fd20,Cascaded nanooptics to probe microsecond atomic-scale phenomena,"Significance Surface-enhanced Raman spectroscopy (SERS) is a powerful analytical technique capable of single-molecule sensing. Here, by designing nanoarchitectures that combine nanoscale lensing and plasmonic coupling, its optical efficiency is improved a thousandfold. The intense signals we now achieve rival the brightness of conventional single-molecule fluorescent dyes and other two-level systems. We demonstrate its capability by resolving the real-time microsecond dynamics of individual gold atoms and lattice defects at room temperature. We also show the ability to detect individual isotopes within ensembles of nonresonant molecules. This step change in signal-to-noise shows the untapped potential of SERS and demonstrates its capability for direct real-time monitoring of chemistry in ambient conditions. Plasmonic nanostructures can focus light far below the diffraction limit, and the nearly thousandfold field enhancements obtained routinely enable few- and single-molecule detection. However, for processes happening on the molecular scale to be tracked with any relevant time resolution, the emission strengths need to be well beyond what current plasmonic devices provide. Here, we develop hybrid nanostructures incorporating both refractive and plasmonic optics, by creating SiO2 nanospheres fused to plasmonic nanojunctions. Drastic improvements in Raman efficiencies are consistently achieved, with (single-wavelength) emissions reaching 107 counts⋅mW−1⋅s−1 and 5 × 105 counts∙mW−1∙s−1∙molecule−1, for enhancement factors >1011. We demonstrate that such high efficiencies indeed enable tracking of single gold atoms and molecules with 17-µs time resolution, more than a thousandfold improvement over conventional high-performance plasmonic devices. Moreover, the obtained (integrated) megahertz count rates rival (even exceed) those of luminescent sources such as single-dye molecules and quantum dots, without bleaching or blinking.",2020.0,21,31,33,74,Proceedings of the National Academy of Sciences of the United States of America,True,"Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1073/PNAS.1920091117?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1073/PNAS.1920091117, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.",GREEN,Proceedings of the National Academy of Sciences,JournalArticle,"Materials Science, Medicine",15,0.7103373
fa5b1536eaf917b9b5a2da429f57e65d53e0dc88,Dense electro-optic frequency comb generated by two-stage modulation for dual-comb spectroscopy.,"An electro-optic frequency comb enables frequency-agile comb-based spectroscopy without using sophisticated phase-locking electronics. Nevertheless, dense electro-optic frequency combs over broad spans have yet to be developed. In this Letter, we propose a straightforward and efficient method for electro-optic frequency comb generation with a small line spacing and a large span. This method is based on two-stage modulation: generating an 18 GHz line-spacing comb at the first stage and a 250 MHz line-spacing comb at the second stage. After generating an electro-optic frequency comb covering 1500 lines, we set up an easily established mutually coherent hybrid dual-comb interferometer, which combines the generated electro-optic frequency comb and a free-running mode-locked laser. As a proof of concept, this hybrid dual-comb interferometer is used to measure the absorption and dispersion profiles of the molecular transition of H13CN with a spectral resolution of 250 MHz.",2017.0,11,17,18,24,Optics Letters,False,"Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1364/OL.42.003984?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1364/OL.42.003984, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.",CLOSED,Optics letters,JournalArticle,"Physics, Medicine",4,0.84822863
63e5758bb0ec27ad6c48a983ce597a7458485f35,Dipole Antennas 3D-printed from Conductive Thermoplastic Filament,"Fused Deposition Modeling (FDM) of thermoplastics is a flexible and simple 3D printing method. FDM has a variety of adjustable fabrication parameters to modify both the mechanical and electrical properties of the printed structures. However, the use of 3D-printable conductive thermoplastic filaments for electronics manufacturing has so far been quite limited. This type of printing would allow 3D-printed antennas to be efficiently embedded inside 3D-printed structures during the manufacturing process. In this paper, we present prototypes of 3D-printed dipole antennas using a conductive copper-based filament. Despite some initial challenges in the printing process, three types of ultrahigh frequency (UHF) radiofrequency identification (RFID) tag antennas were successfully printed, one of which was a contour pattern and the other two were printed using 100 % antenna patterns. Based on the achieved results, the thickness or printing pattern of the 3D-printed dipole antenna had no major effect on the tag read range. All types of tags showed read ranges of around 0.7-1.1 meters. Further, they were functional throughout the global UHF RFID frequency band (860-960 MHz). These first results are promising, especially when considering the contour type of antenna, which saves a lot of printing material and time.",2020.0,6,12,12,14,Electronics System-integration Technology Conference,False,"Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/ESTC48849.2020.9229736?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ESTC48849.2020.9229736, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.",,2020 IEEE 8th Electronics System-Integration Technology Conference (ESTC),Conference,Materials Science,4,0.6792969
5214c9b7b3ee571dcc57e8658a812aece393876a,Magneto-Luminescence Correlation in the Textbook Dysprosium(III) Nitrate Single-Ion Magnet,"Multifunctional Single-Molecule Magnets (SMMs) or Single-Ion Magnets (SIMs) are intriguing molecule-based materials presenting an association of the slow magnetic relaxation with other physical properties. In this article, we present an example of a very simple molecule based on Dy3+ ion exhibiting a field induced SIM property and a characteristic Dy3+ based emission. The [Dy(NO3)3(H2O)4]·2H2O (1) complex is characterized by the means of single crystal X-Ray diffraction and their magnetic and photo-luminescent properties are investigated. We demonstrate here that it is possible to correlate the magnetic and luminescent properties and to obtain the Orbach barrier from the low temperature emission spectra, which is often difficult to properly extract from the magnetic measurements, especially in the case of field induced SIMs.",2016.0,17,24,33,34,,True,"Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.3390/MAGNETOCHEMISTRY2040041?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.3390/MAGNETOCHEMISTRY2040041, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.",GOLD,Magnetochemistry,,Chemistry,8,0.7589673
56fd9e937cffb7e41608a434c6a7c32ee6ffff88,Blood-brain barrier-associated pericytes internalize and clear aggregated amyloid-β42 by LRP1-dependent apolipoprotein E isoform-specific mechanism,"Clearance at the blood-brain barrier (BBB) plays an important role in removal of Alzheimer’s amyloid-β (Aβ) toxin from brain both in humans and animal models. Apolipoprotein E (apoE), the major genetic risk factor for AD, disrupts Aβ clearance at the BBB. The cellular and molecular mechanisms, however, still remain unclear, particularly whether the BBB-associated brain capillary pericytes can contribute to removal of aggregated Aβ from brain capillaries, and whether removal of Aβ aggregates by pericytes requires apoE, and if so, is Aβ clearance on pericytes apoE isoform-specific. We performed immunostaining for Aβ and pericyte biomarkers on brain capillaries (< 6 μm in diameter) on tissue sections derived from AD patients and age-matched controls, and APPSwe/0 mice and littermate controls. Human Cy3-Aβ42 uptake by pericytes was studied on freshly isolated brain slices from control mice, pericyte LRP1-deficient mice (Lrplox/lox;Cspg4-Cre) and littermate controls. Clearance of aggregated Aβ42 by mouse pericytes was studied on multi-spot glass slides under different experimental conditions including pharmacologic and/or genetic inhibition of the low density lipoprotein receptor related protein 1 (LRP1), an apoE receptor, and/or silencing mouse endogenous Apoe in the presence and absence of human astrocyte-derived lipidated apoE3 or apoE4. Student’s t-test and one-way ANOVA followed by Bonferroni's post-hoc test were used for statistical analysis. First, we found that 35% and 60% of brain capillary pericytes accumulate Aβ in AD patients and 8.5-month-old APPSw/0 mice, respectively, compared to negligible uptake in controls. Cy3-Aβ42 species were abundantly taken up by pericytes on cultured mouse brain slices via LRP1, as shown by both pharmacologic and genetic inhibition of LRP1 in pericytes. Mouse pericytes vigorously cleared aggregated Cy3-Aβ42 from multi-spot glass slides via LRP1, which was inhibited by pharmacologic and/or genetic knockdown of mouse endogenous apoE. Human astrocyte-derived lipidated apoE3, but not apoE4, normalized Aβ42 clearance by mouse pericytes with silenced mouse apoE. Our data suggest that BBB-associated pericytes clear Aβ aggregates via an LRP1/apoE isoform-specific mechanism. These data support the role of LRP1/apoE interactions on pericytes as a potential therapeutic target for controlling Aβ clearance in AD.",2018.0,71,134,208,71,Molecular Neurodegeneration,True,"Notice: Paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC6194676, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.",GOLD,Molecular Neurodegeneration,JournalArticle,"Chemistry, Medicine",10,0.6984784
3a0b0e35257e06b0ff2533524555e6a7652940ea,Large-scale growth of sharp gold nano-cones for single-molecule SERS detection,We report a novel approach for large-scale gold nano-cone growth by utilizing the open nanopore channels of nanoporous gold films as both the template for nano-cone growth and the delivery channel of the reduction gas through the nano-pipes. Quasi-periodic nano-cone arrays uniformly sprout on the centimeter-sized free-standing nanoporous gold films. The sharp nano-cones give rise to ultrahigh surface enhanced Raman scattering for single molecule detection from the focused electromagnetic fields at the cone apexes. The large-scale nano-cone decorated nanoporous gold films may serve as high-performance SERS substrates for wide-ranging applications in ultrasensitive instrumentation and molecule diagnostics.,2016.0,9,15,31,38,,False,"Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1039/C5RA22321K?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1039/C5RA22321K, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.",CLOSED,RSC Advances,,Materials Science,10,0.8013703
6207b9635eb75b72ab87077ff75faa71d1ff1a0b,Supramolecular Self-Assembly Induced Adjustable Multiple Gating States of Nanofluidic Diodes.,"Artificial nanochannels, inheriting smart gating functions of biological ion channels, promote the development of artificial functional nanofluidic devices for high-performance biosensing and electricity generation. However, gating states of the artificial nanochannels have been mainly realized through chemical modification of the channels with responsive molecules, and their gating states cannot be further regulated once the nanochannel is modified. In this work, we employed a new supramolecular layer-by-layer (LbL) self-assembly method to achieve reversible and adjustable multiple gating features in nanofluidic diodes. Initially, a self-assembly precursor was modified into a single conical nanochannel, then host molecule-cucurbit[8]uril (CB[8]) and guest molecule, a naphthalene derivative, were self-assembled onto the precursor through an LbL method driven by host-enhanced π-π interaction, forming supramolecular monolayer or multilayers on the inner surface of the channel. These self-assemblies with different layer numbers possessed remarkable charge effects and steric effects, exhibiting a capability to regulate the surface charge density and polarity, the effective diameter, and the geometric asymmetry of the single nanochannel, realizing reversible gating of the single nanochannel among multiple rectification and ion-conduction states. As an example of self-assembly of supramolecular networks in nanoconfinements, this work provides a new approach for enhancing functionalities of artificial nanochannels by LbL supramolecular self-assemblies. Meanwhile, since the host molecule, CB[8], used in this work can interact with different kinds of biomolecules and stimuli-responsive chemical species, this work can be further extended to build a novel stable multiple-state research platform for a variety of uses such as sensing and controllable release.",2016.0,27,42,70,54,Journal of the American Chemical Society,True,"Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1021/jacs.6b09601?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1021/jacs.6b09601, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.",BRONZE,Journal of the American Chemical Society,JournalArticle,"Chemistry, Medicine",7,0.7945585
b985ed05cf263e7825e7a8ecdd3057d689d01ae9,Attenuation of Severe Generalized Junctional Epidermolysis Bullosa by Systemic Treatment with Gentamicin,"Severe generalized junctional epidermolysis bullosa (JEB), a lethal genodermatosis, is mainly caused by premature termination codons (PTCs) in one of the three genes encoding the anchoring protein laminin-332. Only symptomatic treatment has been established; overcoming PTCs by aminoglycosides may represent an interesting alternative. This retrospective study aimed at assessing for the first time the clinical effects of systemic gentamicin application in infants with severe generalized JEB. Five patients, homozygous or compound-heterozygous for PTCs in the gene LAMB3, were treated with gentamicin which was administered intravenously or by intramuscular injection at doses of 7.5 mg/kg/d for three weeks. Skin biopsies were investigated by immunofluorescence analyses. Clinical effects of the medication were recorded with a parent questionnaire and by assessing weight-for-age charts. Gentamicin application was well tolerated, long hospitalization was not required. Low levels of laminin-332 could be detected in a skin sample obtained after treatment. Gentamicin had a positive impact on skin fragility and daily life in four patients but did not influence weight gain and failed to reverse the lethal course of the disease. Gentamicin injections should be considered regularly in cases of severe generalized JEB caused by PTCs as they may attenuate JEB symptoms without impeding quality of life.",2019.0,13,19,24,32,Dermatology,False,"Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1159/000499906?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1159/000499906, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.",,Dermatology,JournalArticle,Medicine,4,0.6448171
83e0a0a78092d52b64420bb9d83dc3c8d0257d40,ToF-SIMS and Laser-SNMS Imaging of Heterogeneous Topographically Complex Polymer Systems.,"Heterogeneous polymer coatings, such as those used in organic electronics and medical devices, are of increasing industrial importance. In order to advance the development of these types of systems, analytical techniques are required which are able to determine the elemental and molecular spatial distributions, on a nanometer scale, with very high detection efficiency and sensitivity. The goal of this study was to investigate the suitability of laser postionization secondary neutral mass spectrometry (Laser-SNMS) with a 157 nm postionization laser beam to image structured polymer mixtures and compare the results with time-of-flight secondary ion mass spectrometry (ToF-SIMS) measurements using Bi3+ primary ions. The results showed that Laser-SNMS is better suited than ToF-SIMS for unambiguous detection and submicrometer imaging of the wide range of polymers investigated. The data also showed that Laser-SNMS has the advantage of being much more sensitive (in general higher by more than an order of magnitude and peaking at up to 3 orders of magnitude) than ToF-SIMS while also showing superior performance on topographically complex structured insulating surfaces, due to significantly reduced field effects and a higher dynamic range as compared to ToF-SIMS. It is concluded that Laser-SNMS is a powerful complementary technique to ToF-SIMS for the analysis of heterogeneous polymers and other complex structured organic mixtures, providing submicrometer resolution and high sensitivity.",2016.0,5,10,13,15,Analytical Chemistry,False,"Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1021/ACS.ANALCHEM.6B02415?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1021/ACS.ANALCHEM.6B02415, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.",CLOSED,Analytical chemistry,JournalArticle,"Chemistry, Medicine",5,0.76784796
93e10c43f096eb72391109175748f0c3b1b5f2a1,Piezoelectric Energy Harvesting from a Ferroelectric Hybrid Salt [Ph3MeP]4[Ni(NCS)6] Embedded in a Polymer Matrix.,"Organic-inorganic hybrid ferroelectrics are an exciting class of molecular materials with promising applications in the area of energy and electronics. Herein, we report the synthesis, ferroelectric and piezoelectric energy harvesting behavior of a 3d metal ion-containing A 4 BX 6 type organic-inorganic hybrid salt [Ph 3 MeP] 4 [Ni(NCS) 6 ] ( 1 ) that crystallizes in the polar monoclinic space group Cc . The P-E hysteresis loop studies on 1 show a remnant ferroelectric polarization value of 18.71 μC cm -2 , at room temperature. Composite thermoplastic polyurethane (TPU) devices with 5, 10, 15 and 20 weight percent (wt %) compositions of 1 were prepared and employed for piezoelectric energy harvesting studies. A maximum output voltage of 19.29 V and a calculated power density value of 2.51 mW cm -3 were observed for the 15 wt % 1 -TPU device. Further, the capacitor charging experiments on the 15 wt % 1 -TPU composite device shows an excellent energy storage performance with the highest stored energies and measured charges of 198.8 μJ and 600 μC, respectively.",2020.0,17,28,33,51,Angewandte Chemie,False,"Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1002/anie.202001250?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1002/anie.202001250, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.",CLOSED,Angewandte Chemie,JournalArticle,"Medicine, Materials Science",5,0.82289326
ce4c97866976a1b23b26e32bebd343bb5e7005d1,A Universal Descriptor for the Entropy of Adsorbed Molecules in Confined Spaces,"Confinement of hydrocarbons in nanoscale pockets and pores provides tunable capability for controlling molecules in catalysts, sorbents, and membranes for reaction and separation applications. While computation of the enthalpic interactions of hydrocarbons in confined spaces has improved, understanding and predicting the entropy of confined molecules remains a challenge. Here we show, using a set of nine aluminosilicate zeolite frameworks with broad variation in pore and cavity structure, that the entropy of adsorption can be predicted as a linear combination of rotational and translational entropy. The extent of entropy lost upon adsorption is predicted using only a single material descriptor, the occupiable volume (Vocc). Predictive capability of confined molecular entropy permits an understanding of the relation with adsorption enthalpy, the ability to computationally screen microporous materials, and an understanding of the role of confinement on the kinetics of molecules in confined spaces.",2018.0,30,49,76,41,ACS Central Science,True,"Notice: Paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC6161062, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.",GOLD,ACS Central Science,JournalArticle,"Materials Science, Medicine",2,0.7849325
